Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,334,322,359,365,458,418
Feb,311,352,345,395,461,382
Mar,560,525,537,546,629,540
Apr,516,530,557,551,640,577
May,648,619,690,557,707,572
Jun,738,715,755,713,809,698
Jul,618,706,661,720,761,628
Aug,622,675,692,727,778,629
Sep,568,455,556,697,655,
Oct,460,499,547,719,618,
Nov,488,469,515,631,673,
Dec,517,445,529,716,604,
