"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"1.3 mi","1","2222666","7870-42-8966","CLOSD","206 Dewey ST","23005","Hanover","Residential","Single Family Residence","2","1,080","1.0","1986","$65,000","$212,929","22","10/04/2022","Resale (occupied at least once)","Cash","REO"
"3.0 mi","1","1814701","7778-86-4215 & 7778-86-4097","CLOSD","11806 Cobbs RD","23005","Hanover","Residential","Single Family Residence","2","1,085","1.0","1952","$65,000","$65,000","0","06/28/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.3 mi","1","1926158","7789-34-8609","CLOSD","10478 Ashcake RD","23005","Hanover","Residential","Single Family Residence","2","816","1.0","1975","$85,000","$95,200","10","09/24/2019","Resale (occupied at least once)","Cash","REO"
"2.7 mi","1","1809413","7799-59-6025","CLOSD","12456 Leonard LN","23005","Hanover","Residential","Single Family Residence","2","1,248","1.0","1980","$99,950","$102,500","107","08/06/2018","Resale (occupied at least once)","Cash","Individuals"
"0.6 mi","1","2019643","7779-89-2564","CLOSD","309 Mac Murdo ST","23005","Hanover","Residential","Single Family Residence","2","752","1.0","1954","$100,000","$80,000","31","08/19/2020","Resale (occupied at least once)","Cash","Other"
"1.3 mi","1","1734687","7870-43-9538","CLOSD","412 Wesley ST","23005","Hanover","Residential","Single Family Residence","2","1,204","1.0","1955","$104,900","$125,000","8","10/18/2017","Resale (occupied at least once)","Cash","REO"
"1.2 mi","1","1800145","7880-71-6956","CLOSD","13097 Hill Top DR","23005","Hanover","Residential","Single Family Residence","2","832","1.0","1945","$110,000","$80,000","11","02/02/2018","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","1716341","7779-99-1474","CLOSD","646 S Taylor ST","23005","Hanover","Residential","Single Family Residence","2","780","1.0","1973","$114,000","$105,500","64","11/14/2017","Resale (occupied at least once)","Other","Individuals"
"1.0 mi","1","1816614","7779-96-4096","CLOSD","12303 Dabney LN","23005","Hanover","Residential","Single Family Residence","4","1,152","1.0","1953","$114,900","$106,000","80","09/19/2018","Resale (occupied at least once)","Cash","Corporate, REO"
"2.1 mi","1","2008367","7779-23-3723","CLOSD","12204 Elmont RD","23005","Hanover","Residential","Single Family Residence","2","724","1.0","1953","$115,000","$105,000","28","06/16/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.1 mi","1","2135297","7870-64-6144","CLOSD","339 N Snead ST","23005","Hanover","Residential","Single Family Residence","3","992","1.1","1991","$116,910","$150,000","11","01/19/2022","Resale (occupied at least once)","Cash","REO"
"0.2 mi","1","1813875","7880-12-5070","CLOSD","25 Trotter Mill Close Unit#25","23005","Hanover","Residential","Condominium","1","788","1.0","1985","$119,900","$119,900","15","06/18/2018","Resale (occupied at least once)","VA Assumption","Individuals"
"0.4 mi","1","1829577","7779-99-4242","CLOSD","501 Pleasant ST","23005","Hanover","Residential","Single Family Residence","2","1,366","1.0","1955","$119,995","$108,000","8","09/05/2018","Resale (occupied at least once)","Cash","Corporate"
"4.1 mi","1","1837864","7777-69-3961","CLOSD","11186 Parrish LN","23059","Hanover","Residential","Single Family Residence","2","864","1.0","1945","$120,000","$117,000","30","12/28/2018","Resale (occupied at least once)","Conventional","REO"
"1.5 mi","1","1909821","7880-38-6026","CLOSD","10318 Jamestown RD","23005","Hanover","Residential","Single Family Residence","3","1,175","1.0","1965","$125,000","$110,100","5","04/16/2019","Resale (occupied at least once)","Cash","Individuals"
"1.5 mi","1","1824733","7880-38-7140","CLOSD","10312 Jamestown RD","23005","Hanover","Residential","Single Family Residence","3","1,088","1.0","1969","$125,000","$115,000","25","08/10/2018","Resale (occupied at least once)","Cash","Partnership"
"0.5 mi","1","1811941","7870-80-3196","CLOSD","103 Arlington Square Unit#-","23005","Hanover","Residential","Townhouse","3","1,277","1.1","1988","$129,000","$125,500","6","05/10/2018","Resale (occupied at least once)","Cash","Individuals"
"2.9 mi","1","2028745","7778-76-8080","CLOSD","11122 Cobbs RD","23059","Hanover","Residential","Single Family Residence","4","1,225","1.0","1972","$130,000","$141,000","16","11/04/2020","Resale (occupied at least once)","Cash","Estate"
"0.3 mi","1","1901916","7880-12-6214","CLOSD","33 Trotter Mill CLOSE Unit#33","23005","Hanover","Residential","Condominium","2","1,119","2.0","1987","$133,200","$125,000","51","03/15/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.0 mi","1","1907074","7870-74-8697","CLOSD","102 Linden ST","23005","Hanover","Residential","Single Family Residence","2","696","1.0","1958","$134,950","$134,950","18","05/15/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.6 mi","1","1740247","7870-80-3156","CLOSD","105 Arlington SQ Unit#105","23005","Hanover","Residential","Townhouse","2","1,197","2.1","1988","$134,950","$134,950","9","01/04/2018","Resale (occupied at least once)","VHDA ","Individuals"
"0.5 mi","1","1811563","7870-80-6154","CLOSD","145 Arlington SQ Unit#145","23005","Hanover","Residential","Townhouse","2","1,140","2.1","1990","$137,000","$130,000","6","05/18/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.5 mi","1","1930034","7779-99-1474","CLOSD","646 S Taylor ST","23005","Hanover","Residential","Single Family Residence","2","780","1.0","1973","$139,500","$142,150","2","11/22/2019","Resale (occupied at least once)","FHA New","Individuals"
"0.5 mi","1","1816255","7870-80-6487","CLOSD","132 Arlington SQ Unit#132","23005","Hanover","Residential","Townhouse","2","1,192","2.0","1992","$139,950","$140,000","4","06/29/2018","Resale (occupied at least once)","Conventional","Individuals"
"2.2 mi","1","2115025","7779-23-5320","CLOSD","12172 Elmont RD","23005","Hanover","Residential","Single Family Residence","4","1,080","1.0","1754","$139,999","$178,000","6","11/17/2021","Resale (occupied at least once)","Conventional","Estate"
"0.3 mi","1","2225219","7870-90-6348","CLOSD","207 Randolph ST","23005","Hanover","Residential","Single Family Residence","2","872","1.0","1942","$140,000","$150,000","2","10/04/2022","Resale (occupied at least once)","Cash","Individuals"
"3.8 mi","1","1804742","7798-79-9783","CLOSD","11485 Mount Hermon RD","23005","Hanover","Residential","Single Family Residence","3","864","1.0","1956","$144,950","$144,950","4","03/14/2018","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","1827763","7870-80-6125","CLOSD","147 Arlington SQ Unit#147","23005","Hanover","Residential","Townhouse","3","1,140","1.1","1989","$146,000","$146,000","15","09/20/2018","Resale (occupied at least once)","VHDA ","Individuals"
"2.1 mi","1","2136861","7779-42-6114","CLOSD","11271 Gwathmey Church RD","23005","Hanover","Residential","Single Family Residence","4","1,224","1.0","1958","$147,550","$152,500","2","12/29/2021","Resale (occupied at least once)","Cash","Individuals"
"2.3 mi","1","2111231","7778-99-1078","CLOSD","11464 Laura LN","23005","Hanover","Residential","Single Family Residence","3","1,428","2.0","1754","$149,000","$123,000","11","06/25/2021","Resale (occupied at least once)","Cash","Individuals"
"1.3 mi","1","1912657","7870-43-7491","CLOSD","409 Wesley ST","23005","Hanover","Residential","Single Family Residence","2","1,142","1.0","1956","$149,500","$150,600","3","05/02/2019","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","1837024","7870-80-6144","CLOSD","146 Arlington SQ","23005","Hanover","Residential","Townhouse","3","1,102","1.1","1989","$149,900","$145,000","7","12/11/2018","Resale (occupied at least once)","Cash","Individuals"
"0.8 mi","1","1814786","7870-84-7271","CLOSD","512 Henry ST","23005","Hanover","Residential","Single Family Residence","2","797","1.0","1930","$149,900","$165,000","4","05/31/2018","Resale (occupied at least once)","Cash","Individuals"
"1.1 mi","1","2123602","7870-63-0257","CLOSD","124 Wesley ST","23005","Hanover","Residential","Single Family Residence","2","640","1.0","1964","$149,950","$158,000","5","09/24/2021","Resale (occupied at least once)","Conventional","Estate"
"2.6 mi","1","2208301","7779-20-4630","CLOSD","12031 Elmont RD","23005","Hanover","Residential","Single Family Residence","1","816","1.0","1954","$150,000","$162,000","5","04/25/2022","Resale (occupied at least once)","Cash","Partnership"
"3.5 mi","1","2118442","7798-15-1471","CLOSD","11283 Egypt RD","23005","Hanover","Residential","Single Family Residence","2","640","1.0","1975","$150,000","$161,000","6","07/21/2021","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","2111593","7870-80-8446","CLOSD","308 S Taylor ST","23005","Hanover","Residential","Single Family Residence","2","1,353","1.0","1945","$150,000","$159,000","6","05/24/2021","Resale (occupied at least once)","Cash","Individuals"
"0.6 mi","1","1931305","7870-80-3412","CLOSD","116 Arlington SQ Unit#116","23005","Hanover","Residential","Townhouse","2","1,197","2.1","1989","$151,500","$140,000","20","11/13/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.7 mi","1","2020876","7779-79-8848","CLOSD","704 Maple ST","23005","Hanover","Residential","Single Family Residence","3","1,534","2.0","1935","$156,000","$161,000","0","08/04/2020","Resale (occupied at least once)","Cash","Individuals"
"0.3 mi","1","1938056","7880128419","CLOSD","847 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2012","$159,900","$165,000","7","01/24/2020","Resale (occupied at least once)","Cash","Corporate"
"0.5 mi","1","2028254","7870-80-5428","CLOSD","127 Arlington SQ","23005","Hanover","Residential","Townhouse","2","1,064","2.0","1993","$160,000","$160,000","3","12/01/2020","Resale (occupied at least once)","Cash","Individuals"
"0.9 mi","1","1829585","7779-77-7790","CLOSD","108 Five Oaks LN","23005","Hanover","Residential","Single Family Residence","3","1,128","1.1","1987","$160,000","$162,000","33","03/27/2019","Resale (occupied at least once)","Cash","Individuals"
"0.3 mi","1","1739902","7880-12-7498","CLOSD","845 Sweet Tessa DR Unit#845","23005","Hanover","Residential","Townhouse","2","1,280","2.1","2012","$164,500","$157,000","10","01/12/2018","Resale (occupied at least once)","FHA New","Individuals"
"0.9 mi","1","2110476","7870-74-9470","CLOSD","101 Linden ST","23005","Hanover","Residential","Single Family Residence","2","751","1.0","1945","$164,950","$165,000","4","05/21/2021","Resale (occupied at least once)","VHDA ","Individuals"
"1.6 mi","1","1834409","7779-29-7059","CLOSD","11387 Hanover AVE","23005","Hanover","Residential","Single Family Residence","2","872","1.0","1996","$164,950","$170,000","4","10/29/2018","Resale (occupied at least once)","VHDA ","Individuals"
"1.0 mi","1","2104249","7870-85-8743","CLOSD","710 Henry ST","23005","Hanover","Residential","Single Family Residence","3","1,144","1.1","1940","$165,000","$161,750","3","03/23/2021","Resale (occupied at least once)","Conventional","Other"
"0.2 mi","1","2022758","7880-12-4063","CLOSD","12 Trotter Mill Close","23005","Hanover","Residential","Condominium","2","1,119","2.0","1985","$165,000","$165,500","7","08/31/2020","Resale (occupied at least once)","Cash","Estate"
"0.4 mi","1","1736292","7880-12-8640","CLOSD","905 Kitty Hamilton CIR Unit#J","23005","Hanover","Residential","Townhouse","3","1,454","2.1","2009","$165,950","$166,450","2","11/27/2017","Resale (occupied at least once)","Conventional","Individuals"
"0.2 mi","1","2034908","7880-11-5917","CLOSD","23 Trotter Mill Close Unit#23","23005","Hanover","Residential","Condominium","2","1,119","2.0","1985","$167,500","$171,100","2","12/30/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.5 mi","1","2020840","7870-80-4366","CLOSD","153 Arlington SQ","23005","Hanover","Residential","Condominium","2","1,040","2.0","1994","$169,000","$172,000","29","09/25/2020","Resale (occupied at least once)","FHA New","Individuals"
"3.9 mi","1","1740045","7768-93-6656","CLOSD","12060 Karen DR","23005","Hanover","Residential","Single Family Residence","3","1,168","2.0","1965","$169,000","$169,000","55","03/02/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.5 mi","1","1904172","7779-98-3898","CLOSD","700 S Taylor ST","23005","Hanover","Residential","Single Family Residence","3","1,066","1.0","1969","$169,900","$169,900","3","03/22/2019","Resale (occupied at least once)","VHDA ","Individuals"
"0.3 mi","1","1833709","7880-12-9690","CLOSD","826 Sweet Tessa DR Unit#826","23005","Hanover","Residential","Condominium","3","1,440","2.1","2008","$169,950","$168,750","31","11/30/2018","Resale (occupied at least once)","Cash","Individuals"
"0.4 mi","1","1816600","7880-22-1449","CLOSD","887 Sweet Tessa DR Unit#887","23005","Hanover","Residential","Townhouse","2","1,440","2.1","2010","$169,995","$171,000","7","07/03/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.1 mi","1","2034999","7870-52-5579","CLOSD","220 Henry Clay RD","23005","Hanover","Residential","Single Family Residence","3","1,103","1.0","1974","$170,000","$156,600","17","01/05/2021","Resale (occupied at least once)","Cash","Other"
"0.5 mi","1","1810872","7870-81-7017","CLOSD","311 Robinson ST Unit#2","23005","Hanover","Residential","Townhouse","2","1,360","2.1","2006","$170,000","$170,000","4","05/11/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1820647","7880-12-7602","CLOSD","906 Kitty Hamilton CIR Unit#906","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2012","$171,800","$174,000","16","10/24/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","1","1814890","7880-12-8449","CLOSD","849 Sweet Tessa DR Unit#849","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2012","$172,000","$172,000","9","07/02/2018","Resale (occupied at least once)","FHA New","Individuals"
"0.6 mi","1","1937184","7779-89-6331","CLOSD","318 Mac Murdo ST","23005","Hanover","Residential","Single Family Residence","3","1,080","1.0","1985","$172,500","$172,500","3","01/10/2020","Resale (occupied at least once)","FHA New","Individuals"
"0.5 mi","1","1911356","7779-89-7592","CLOSD","319 Mac Murdo ST","23005","Hanover","Residential","Single Family Residence","3","1,080","1.0","1985","$172,500","$163,000","19","07/09/2019","Resale (occupied at least once)","VHDA/FHA","Individuals"
"0.9 mi","1","1911380","7870-84-3449","CLOSD","102 A ST","23005","Hanover","Residential","Single Family Residence","3","1,414","1.1","1993","$174,900","$165,000","0","06/28/2019","Resale (occupied at least once)","Cash","Individuals"
"0.4 mi","1","1819273","7880-12-9449","CLOSD","863 Sweet Tessa DR Unit#863","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2011","$174,950","$175,952","6","07/26/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.9 mi","1","2202116","7779-77-6895","CLOSD","107 Five Oaks LN","23005","Hanover","Residential","Single Family Residence","3","1,056","2.0","1987","$175,000","$186,000","4","02/15/2022","Resale (occupied at least once)","Cash","Individuals"
"3.5 mi","1","2105559","7778-53-0157","CLOSD","11243 Kenwood Church RD","23005","Hanover","Residential","Single Family Residence","2","996","1.0","1920","$175,000","$175,000","40","07/28/2021","Resale (occupied at least once)","Other","Individuals"
"0.9 mi","1","1936595","7870-84-2571","CLOSD","100 A ST","23005","Hanover","Residential","Single Family Residence","3","984","1.0","1992","$175,000","$170,000","3","12/09/2019","Resale (occupied at least once)","Cash","Individuals"
"0.3 mi","1","1812609","7880-12-5328","CLOSD","821 Sweet Tessa DR Unit#821","23005","Hanover","Residential","Condominium","3","1,502","2.1","2009","$175,000","$174,000","12","06/05/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.0 mi","1","1811260","7870-51-8838","CLOSD","212 Thompson ST","23005","Hanover","Residential","Single Family Residence","3","1,321","1.0","1948","$175,000","$175,000","3","06/28/2018","Resale (occupied at least once)","Cash","Individuals"
"0.4 mi","1","1830912","7880-12-9690","CLOSD","868 Sweet Tessa DR Unit#868","23005","Hanover","Residential","Condominium","3","1,440","2.1","2010","$176,000","$176,000","0","10/17/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1912010","7880-12-9784","CLOSD","942 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","2","1,440","2.1","2010","$177,000","$179,000","15","06/12/2019","Resale (occupied at least once)","VHDA ","Individuals"
"0.4 mi","1","1827477","7880-12-7506","CLOSD","900 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","3","1,476","2.1","2012","$178,000","$182,000","2","11/15/2018","Resale (occupied at least once)","VA New","Individuals"
"0.4 mi","1","1924240","7880-22-1479","CLOSD","889 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2010","$178,500","$178,500","31","10/03/2019","Resale (occupied at least once)","Other","Individuals"
"0.4 mi","1","1916493","7880-12-8640","CLOSD","905 Kitty Hamilton CIR","23005","Hanover","Residential","Condominium","3","1,454","2.1","2009","$178,500","$180,000","25","07/26/2019","Resale (occupied at least once)","VA New","Individuals"
"0.3 mi","1","1910588","7880-12-6337","CLOSD","835 Sweet Tessa DR Unit#835","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2009","$178,500","$178,500","10","05/07/2019","Resale (occupied at least once)","Other","Individuals"
"3.8 mi","1","1826991","7798-79-9783","CLOSD","11485 Mount Hermon RD","23005","Hanover","Residential","Single Family Residence","3","864","1.0","1956","$178,500","$178,500","147","02/14/2019","Resale (occupied at least once)","FHA New","Individuals"
"0.9 mi","1","1824630","7779-77-8774","CLOSD","104 Five Oaks LN","23005","Hanover","Residential","Single Family Residence","3","1,056","2.0","1987","$178,900","$170,500","7","08/24/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.8 mi","1","1812276","7779-77-9777","CLOSD","116 Slash DR","23005","Hanover","Residential","Single Family Residence","3","1,056","2.0","1987","$179,000","$183,000","3","05/17/2018","Resale (occupied at least once)","Conventional","Estate"
"1.9 mi","1","1733481","7779-25-6046","CLOSD","11358 Frederick LN","23005","Hanover","Residential","Single Family Residence","3","988","1.0","1974","$179,000","$175,000","44","01/12/2018","Resale (occupied at least once)","Conventional","Estate"
"1.2 mi","1","2004115","7870-53-4494","CLOSD","304 N Snead ST","23005","Hanover","Residential","Single Family Residence","6","2,316","3.1","1930","$179,900","$120,000","57","04/29/2020","Resale (occupied at least once)","Cash","Corporate, REO"
"0.4 mi","1","1938738","7880-12-7603","CLOSD","908 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2012","$179,900","$180,000","4","01/24/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1836689","7880-12-8704","CLOSD","924 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","3","1,454","2.1","2011","$179,900","$175,000","12","11/28/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1828740","7880-22-1508","CLOSD","900 Sweet Tessa DR Unit#900","23005","Hanover","Residential","Condominium","3","1,458","2.1","2009","$179,900","$175,500","10","09/18/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1824361","7880-22-1499","CLOSD","891 Sweet Tessa DR Unit#891","23005","Hanover","Residential","Townhouse","3","1,458","2.1","2010","$179,900","$180,000","13","08/10/2018","Resale (occupied at least once)","FHA New","Individuals"
"0.5 mi","1","2014111","7870-81-6020","CLOSD","301 Robinson ST","23005","Hanover","Residential","Condominium","2","900","2.0","2006","$179,950","$171,000","6","07/01/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1927548","7880-12-8643","CLOSD","909 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","2","1,440","2.1","2009","$179,950","$178,750","28","10/25/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","1","1926819","7880-12-3427","CLOSD","804 Sweet Tessa DR Unit#804","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2008","$179,950","$179,950","3","10/18/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","1","1821421","7880-12-5324","CLOSD","825 Sweet Tessa DR Unit#825","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2009","$179,950","$172,000","3","08/01/2018","Resale (occupied at least once)","VA New","Individuals"
"0.4 mi","1","1834752","7880-22-0696","CLOSD","908 Sweet Tessa DR Unit#79","23005","Hanover","Residential","Townhouse","3","1,502","2.1","2009","$179,999","$183,000","7","11/05/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.2 mi","1","2113949","7880-11-4916","CLOSD","10 Trotter Mill Close","23005","Hanover","Residential","Condominium","2","1,119","2.0","1981","$180,000","$195,000","8","06/25/2021","Resale (occupied at least once)","Cash","Individuals"
"0.4 mi","1","2034646","7880-22-2610","CLOSD","903 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,280","1.1","2011","$180,000","$185,000","7","12/22/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.1 mi","1","1925601","7870-75-1057","CLOSD","207 Elm ST","23005","Hanover","Residential","Single Family Residence","2","960","2.0","1990","$180,000","$180,000","12","09/18/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","1","1840963","7880-12-3231","CLOSD","19 Trotter Mill Close Unit#19","23005","Hanover","Residential","Condominium","2","1,428","2.0","1985","$180,000","$176,000","26","03/27/2019","Resale (occupied at least once)","VHDA ","Individuals"
"0.2 mi","1","1840945","7880-11-3987","CLOSD","8 Trotter Mill Close Unit#8","23005","Hanover","Residential","Condominium","3","1,347","2.0","1981","$180,000","$175,000","21","02/27/2019","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","1930646","7880-22-0479","CLOSD","881 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,414","2.1","2010","$182,000","$185,000","4","10/24/2019","","Conventional","Individuals"
"0.3 mi","1","2126184","7880-12-5326","CLOSD","823 Sweet Tessa DR","23005","Hanover","Residential","Condominium","3","1,440","1.1","2009","$184,000","$191,000","9","11/05/2021","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","2016930","7880-12-8645","CLOSD","911 Kitty Hamilton CIR Unit#78","23005","Hanover","Residential","Condominium","3","1,458","2.1","2009","$184,900","$188,000","3","07/07/2020","Resale (occupied at least once)","Conventional","Individuals"
"2.8 mi","1","1929357","7778-19-3634","CLOSD","11433 Loving DR","23005","Hanover","Residential","Single Family Residence","3","1,040","1.0","1968","$184,900","$184,900","6","10/25/2019","Resale (occupied at least once)","FHA New","Partnership"
"0.4 mi","1","2021887","7880-12-9429","CLOSD","861 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,422","2.1","2011","$184,950","$189,950","6","09/10/2020","Resale (occupied at least once)","FHA New","Individuals"
"0.3 mi","1","2017846","7880-12-5324","CLOSD","825 Sweet Tessa DR Unit#235","23005","Hanover","Residential","Condominium","3","1,440","2.1","2009","$184,950","$185,000","2","07/31/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","2015456","7880-22-0696","CLOSD","908 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,502","2.1","2012","$184,950","$184,950","4","07/13/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.7 mi","1","1922771","7779-88-5174","CLOSD","12 Slash CT","23005","Hanover","Residential","Single Family Residence","3","1,120","2.0","1987","$184,950","$195,500","2","08/16/2019","Resale (occupied at least once)","VA New","Individuals"
"1.0 mi","1","2214174","7870-74-8697","CLOSD","102 Linden ST","23005","Hanover","Residential","Single Family Residence","2","696","1.0","1950","$185,000","$196,000","5","06/15/2022","Resale (occupied at least once)","Cash","Individuals"
"0.9 mi","1","2127718","7779-86-6984","CLOSD","231 Ashcake RD","23005","Hanover","Residential","Single Family Residence","3","1,532","2.1","1962","$185,000","$172,500","9","01/14/2022","Resale (occupied at least once)","Conventional","Individuals"
"0.6 mi","1","1819459","7779-89-3382","CLOSD","312 Mac Murdo ST","23005","Hanover","Residential","Single Family Residence","3","1,128","2.0","2000","$185,000","$185,000","4","07/02/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.4 mi","1","2131226","7870-42-2686","CLOSD","501 Henry Clay RD","23005","Hanover","Residential","Single Family Residence","1","876","1.0","1928","$189,900","$253,200","8","11/19/2021","Resale (occupied at least once)","Cash","Individuals"
"0.4 mi","1","2103768","7880-12-7605","CLOSD","910 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2012","$189,900","$200,000","6","04/05/2021","Resale (occupied at least once)","VA New","Individuals"
"4.1 mi","1","1801909","7787-49-4318","CLOSD","10281 Old Keeton RD","23005","Hanover","Residential","Single Family Residence","2","1,025","2.0","2007","$189,900","$193,000","52","05/10/2018","Resale (occupied at least once)","Conventional","REO"
"2.7 mi","1","2119299","7799-59-6025","CLOSD","12456 Leonard LN","23005","Hanover","Residential","Single Family Residence","2","1,248","1.0","1950","$189,950","$210,000","3","07/28/2021","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","1","2020349","7880-12-6332","CLOSD","831 Sweet Tessa DR","23005","Hanover","Residential","Condominium","3","1,502","2.1","2009","$189,950","$189,950","6","09/25/2020","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","2026159","7880-12-8734","CLOSD","926 Kitty Hamilton CIR","23005","Hanover","Residential","Townhouse","3","1,440","2.1","2011","$194,500","$197,000","3","10/20/2020","Resale (occupied at least once)","USDA","Individuals"
"1.3 mi","1","1809289","7880-81-0951","CLOSD","10109 E Patrick Henry RD","23005","Hanover","Residential","Single Family Residence","3","1,369","1.1","1984","$194,500","$194,500","7","04/18/2018","Resale (occupied at least once)","Other","Individuals"
"1.4 mi","1","1738694","7870-43-7801","CLOSD","407 Chapman ST","23005","Hanover","Residential","Single Family Residence","3","1,404","1.1","1953","$194,500","$193,500","18","12/18/2017","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","2100221","7870-81-5094","CLOSD","297 Robinson ST Unit#9","23005","Hanover","Residential","Condominium","2","1,360","1.1","2006","$195,000","$195,000","2","02/05/2021","Resale (occupied at least once)","Conventional","Individuals"
"0.4 mi","1","2031722","7880-22-1499","CLOSD","891 Sweet Tessa DR","23005","Hanover","Residential","Townhouse","3","1,458","2.1","2010","$195,895","$198,000","2","11/19/2020","Resale (occupied at least once)","VHDA ","Individuals"
"0.2 mi","1","2222848","7880-12-2077","CLOSD","2 Trotter Mill Close Unit#2","23005","Hanover","Residential","Condominium","2","1,119","2.0","1981","$199,000","$205,000","2","09/28/2022","Resale (occupied at least once)","VA New","Individuals"
"1.1 mi","1","1907269","7870-75-3003","CLOSD","203 Elm ST","23005","Hanover","Residential","Single Family Residence","3","1,273","2.0","1950","$199,000","$180,000","19","05/10/2019","Resale (occupied at least once)","Cash","Individuals"
"2.4 mi","1","1817049","7881-23-5228","CLOSD","14152 Elletts Crossing RD","23005","Hanover","Residential","Single Family Residence","4","2,096","1.0","1900","$199,000","$164,000","246","03/25/2019","Resale (occupied at least once)","VHDA/FHA","REO"
"3.2 mi","1","1812556","7871-03-0630","CLOSD","14195 Independence RD","23005","Hanover","Residential","Single Family Residence","2","1,312","1.0","1962","$199,500","$201,500","4","06/14/2018","Resale (occupied at least once)","Conventional","Individuals"
"0.9 mi","1","1801196","7779-77-5550","CLOSD","117 Five Oaks LN","23005","Hanover","Residential","Single Family Residence","3","1,794","2.1","1987","$199,500","$189,000","28","03/29/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.2 mi","1","1737382","7870-51-0676","CLOSD","106 S Snead ST","23005","Hanover","Residential","Single Family Residence","3","1,864","2.0","1949","$199,500","$200,000","14","12/29/2017","Resale (occupied at least once)","Conventional","Estate"
"1.2 mi","1","1916416","7870-75-1314","CLOSD","208 Elm ST","23005","Hanover","Residential","Single Family Residence","3","1,104","1.0","1938","$199,770","$190,000","85","09/16/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.0 mi","1","2219928","7870-63-6305","CLOSD","302 N James ST","23005","Hanover","Residential","Single Family Residence","3","1,512","1.0","1940","$199,900","$199,900","7","08/18/2022","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","2114068","7870-80-4136","CLOSD","101 Arlington SQ","23005","Hanover","Residential","Townhouse","2","1,197","2.1","1988","$199,900","$190,000","3","06/30/2021","Resale (occupied at least once)","Conventional","Individuals"
