"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"1.7 mi","501","2015967","Lot 74","CLOSD","Lot 74 Lauradell RD","23005","Hanover","Residential","Single Family Residence","2","1,900","2.1","2020","$359,900","$373,246","0","11/17/2020","New (never occupied)","Cash","Corporate"
"1.7 mi","501","2013086","Lot 94","CLOSD","212 Lauradell RD","23005","Hanover","Residential","Single Family Residence","2","1,900","2.0","2020","$359,900","$346,229","89","01/22/2021","New (never occupied)","Conventional","Corporate"
"2.2 mi","501","1726598","7799-15-5895","CLOSD","12634 Mount Hermon RD","23005","Hanover","Residential","Single Family Residence","3","2,680","2.0","1980","$359,900","$359,000","55","11/29/2017","Resale (occupied at least once)","Conventional","Individuals"
"0.7 mi","501","2201829","7870-94-3017","CLOSD","604 Old Station ST","23005","Hanover","Residential","Single Family Residence","3","1,458","2.0","2007","$359,950","$360,000","4","02/25/2022","Resale (occupied at least once)","Conventional","Estate"
"1.5 mi","501","2025969","7880-83-4286","CLOSD","13617 Providence Trail CIR","23005","Hanover","Residential","Single Family Residence","3","2,830","2.1","2016","$359,950","$359,950","7","10/19/2020","Resale (occupied at least once)","Conventional","Individuals"
"3.3 mi","501","2021673","7778-54-8049","CLOSD","11513 Haltonshire WAY","23059","Hanover","Residential","Single Family Residence","4","2,275","2.1","2011","$359,950","$359,950","13","10/05/2020","Resale (occupied at least once)","Conventional","Individuals"
"3.2 mi","501","2021457","7778-74-4415","CLOSD","11426 Rose Bowl DR","23059","Hanover","Residential","Single Family Residence","4","2,626","2.1","2008","$359,950","$365,000","17","09/21/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.4 mi","501","2014897","7880-83-0547","CLOSD","13804 Providence Grace LN","23005","Hanover","Residential","Single Family Residence","3","2,369","2.1","2016","$359,950","$359,950","19","08/27/2020","Resale (occupied at least once)","Conventional","Individuals"
"2.7 mi","501","1930311","7799-45-1164","CLOSD","12258 N Oaks DR","23005","Hanover","Residential","Single Family Residence","4","2,125","2.0","1965","$359,950","$365,000","31","12/05/2019","Resale (occupied at least once)","Conventional","Individuals"
"2.6 mi","501","1902562","7769-93-1950","CLOSD","12050 Fox Mill Run LN","23005","Hanover","Residential","Single Family Residence","4","2,813","2.1","1991","$359,950","$347,950","15","03/25/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.4 mi","501","1736249","7880-83-1654","CLOSD","13537 Providence Run RD","23005","Hanover","Residential","Single Family Residence","3","2,736","2.1","2015","$359,950","$359,950","60","12/29/2017","Resale (occupied at least once)","Conventional","Individuals"
