Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,17,21,9,20,29,32
Feb,25,27,22,13,25,37
Mar,36,31,26,18,43,40
Apr,23,19,22,24,49,48
May,32,25,31,33,42,34
Jun,38,29,32,37,34,36
Jul,34,23,24,46,39,36
Aug,35,30,27,50,36,45
Sep,34,22,22,33,26,
Oct,22,30,27,33,29,
Nov,26,26,28,36,37,
Dec,43,27,28,49,35,
