Period,Current Search
2022 Q3 QTD,"$1,614 "
2022 Q2,"$1,633 "
2022 Q1,"$1,617 "
2021 Q4,"$1,610 "
2021 Q3,"$1,623 "
2021 Q2,"$1,619 "
2021 Q1,"$1,592 "
2020 Q4,"$1,582 "
2020 Q3,"$1,587 "
2020 Q2,"$1,604 "
2020 Q1,"$1,576 "
2019 Q4,"$1,565 "
2019 Q3,"$1,576 "
2019 Q2,"$1,578 "
2019 Q1,"$1,577 "
2018 Q4,"$1,572 "
2018 Q3,"$1,568 "
2018 Q2,"$1,572 "
2018 Q1,"$1,566 "
2017 Q4,"$1,566 "
2017 Q3,"$1,573 "
2017 Q2,"$1,573 "
2017 Q1,"$1,571 "
2016 Q4,"$1,574 "
2016 Q3,"$1,580 "
2016 Q2,"$1,579 "
2016 Q1,"$1,581 "
2015 Q4,"$1,573 "
2015 Q3,"$1,568 "
2015 Q2,"$1,563 "
2015 Q1,"$1,559 "
2014 Q4,"$1,543 "
2014 Q3,"$1,535 "
2014 Q2,"$1,532 "
2014 Q1,"$1,536 "
2013 Q4,"$1,540 "
2013 Q3,"$1,542 "
2013 Q2,"$1,542 "
2013 Q1,"$1,531 "
2012 Q4,"$1,529 "
2012 Q3,"$1,533 "
2012 Q2,"$1,536 "
2012 Q1,"$1,534 "
