Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,0,0,0,0,1,3
Feb,0,0,0,0,1,2
Mar,1,0,0,0,0,2
Apr,0,0,0,0,0,4
May,0,0,0,0,0,2
Jun,0,0,0,1,2,3
Jul,0,0,0,0,1,
Aug,0,0,1,3,2,
Sep,0,0,1,0,2,
Oct,1,0,1,0,5,
Nov,0,0,0,0,2,
Dec,2,0,1,0,2,
