Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,91,91,81,106,149,104
Feb,82,72,77,97,123,59
Mar,140,145,160,161,183,149
Apr,163,183,161,168,192,159
May,216,184,224,168,215,188
Jun,269,250,272,229,268,226
Jul,238,226,254,259,279,208
Aug,221,218,219,265,272,197
Sep,143,113,146,239,198,
Oct,118,142,139,252,209,
Nov,143,135,139,190,193,
Dec,150,106,163,205,157,
