Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,212,211,234,207,250,233
Feb,174,206,204,226,242,206
Mar,344,322,312,287,335,295
Apr,325,324,331,363,350,342
May,389,431,444,372,385,418
Jun,526,477,465,417,507,424
Jul,355,449,415,475,499,391
Aug,386,408,427,422,488,334
Sep,303,278,298,428,428,
Oct,302,321,300,444,386,
Nov,300,262,276,358,368,
Dec,290,241,294,379,328,
