Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,368,382,366,345,495,434
Feb,393,401,433,424,463,424
Mar,603,580,563,523,613,612
Apr,628,633,625,540,661,643
May,762,688,746,647,781,640
Jun,814,807,763,721,817,775
Jul,654,745,764,719,868,
Aug,696,711,646,706,799,
Sep,621,525,535,677,741,
Oct,580,579,540,723,695,
Nov,569,515,498,667,718,
Dec,565,504,509,709,718,
