Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,167,171,173,184,227,236
Feb,181,174,185,202,208,213
Mar,249,281,281,248,299,286
Apr,255,263,265,293,312,302
May,329,336,337,274,297,345
Jun,373,367,368,298,377,329
Jul,256,287,346,313,391,
Aug,300,299,293,315,342,
Sep,250,193,216,273,309,
Oct,226,248,267,319,290,
Nov,254,218,261,282,291,
Dec,253,233,266,292,312,
