Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,65,47,47,59,63,47
Feb,50,54,51,45,62,56
Mar,73,65,84,67,76,82
Apr,66,62,57,59,61,72
May,67,64,84,68,68,80
Jun,81,73,63,89,96,81
Jul,54,47,53,98,71,
Aug,80,61,66,90,65,
Sep,79,50,51,76,44,
Oct,65,45,67,83,65,
Nov,68,49,55,71,78,
Dec,106,66,74,109,107,
