Period,Current Search
2022 Q3 QTD,"$1,497 "
2022 Q2,"$1,505 "
2022 Q1,"$1,496 "
2021 Q4,"$1,481 "
2021 Q3,"$1,514 "
2021 Q2,"$1,507 "
2021 Q1,"$1,462 "
2020 Q4,"$1,429 "
2020 Q3,"$1,424 "
2020 Q2,"$1,422 "
2020 Q1,"$1,376 "
2019 Q4,"$1,382 "
2019 Q3,"$1,379 "
2019 Q2,"$1,395 "
2019 Q1,"$1,391 "
2018 Q4,"$1,361 "
2018 Q3,"$1,374 "
2018 Q2,"$1,375 "
2018 Q1,"$1,355 "
2017 Q4,"$1,359 "
2017 Q3,"$1,365 "
2017 Q2,"$1,354 "
2017 Q1,"$1,344 "
2016 Q4,"$1,326 "
2016 Q3,"$1,343 "
2016 Q2,"$1,341 "
2016 Q1,"$1,340 "
2015 Q4,"$1,320 "
2015 Q3,"$1,327 "
2015 Q2,"$1,317 "
2015 Q1,"$1,313 "
2014 Q4,"$1,287 "
2014 Q3,"$1,282 "
2014 Q2,"$1,282 "
2014 Q1,"$1,276 "
2013 Q4,"$1,274 "
2013 Q3,"$1,267 "
2013 Q2,"$1,265 "
2013 Q1,"$1,246 "
2012 Q4,"$1,238 "
2012 Q3,"$1,244 "
2012 Q2,"$1,245 "
2012 Q1,"$1,243 "
