Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,112,101,97,101,127,127
Feb,109,120,103,97,146,131
Mar,158,159,160,139,183,189
Apr,125,131,127,124,180,143
May,155,148,159,139,170,132
Jun,181,173,168,192,177,174
Jul,152,139,151,173,137,
Aug,163,165,175,181,159,
Sep,170,133,148,191,134,
Oct,148,131,170,199,156,
Nov,166,136,145,162,156,
Dec,219,169,178,233,187,
