Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,69,65,74,72,109,77
Feb,70,73,73,71,101,54
Mar,120,108,127,132,145,123
Apr,114,137,149,117,165,135
May,173,152,187,143,182,145
Jun,209,227,224,166,219,184
Jul,171,198,193,202,235,
Aug,172,182,172,196,236,
Sep,104,92,127,184,172,
Oct,95,118,108,176,178,
Nov,122,101,107,143,156,
Dec,114,81,131,147,114,
