Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,32,50,43,51,76,79
Feb,48,66,59,48,51,61
Mar,66,83,96,77,101,70
Apr,57,56,77,47,96,85
May,78,97,95,62,90,95
Jun,83,90,126,88,116,84
Jul,80,68,103,75,95,
Aug,96,100,91,77,107,
Sep,70,79,76,89,93,
Oct,80,81,63,86,101,
Nov,73,84,63,78,94,
Dec,64,80,58,73,99,
