Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,36,41,27,21,27,33
Feb,40,33,33,27,36,43
Mar,58,56,37,37,56,42
Apr,39,41,37,37,66,35
May,55,49,44,36,49,39
Jun,66,58,49,52,47,37
Jul,62,53,38,56,42,
Aug,59,64,46,57,45,
Sep,55,39,29,43,29,
Oct,45,44,34,49,34,
Nov,51,43,47,42,43,
Dec,71,50,48,61,36,
