Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,71,64,66,75,118,115
Feb,79,89,89,98,97,89
Mar,122,139,131,114,139,113
Apr,112,127,130,84,154,133
May,130,133,165,108,154,147
Jun,136,147,181,137,182,149
Jul,142,131,159,130,170,131
Aug,153,145,127,152,157,152
Sep,123,117,112,138,159,
Oct,139,134,110,140,149,
Nov,99,133,121,133,172,
Dec,93,121,106,140,132,
