FY,County_Name,avg_mort_rate,80pctami,affordable_monthly_pymnt_80pctami,max_home_price_80pctAMI,total_sales_80pctami,total_sales_all,starter_homes_pct
2021,Radford city,0.0294,51000,"1,190","276,294",67,86,0.78
2021,Rappahannock County,0.0294,56250,"1,313","304,736",17,59,0.29
2021,Richmond city,0.0294,57600,"1,344","312,050",872,"1,720",0.51
2021,Richmond County,0.0294,38750,904,"209,930",15,36,0.42
2021,Roanoke city,0.0294,50200,"1,171","271,960",580,725,0.80
2021,Roanoke County,0.0294,50200,"1,171","271,960",493,860,0.57
2021,Rockbridge County,0.0294,39200,915,"212,367",46,157,0.29
2021,Rockingham County,0.0294,43800,"1,022","237,288",166,513,0.32
2021,Russell County,0.0294,38200,891,"206,950",52,64,0.81
2021,Salem city,0.0294,50200,"1,171","271,960",143,201,0.71
2021,Scott County,0.0294,38200,891,"206,950",5,10,0.50
2021,Shenandoah County,0.0294,44700,"1,043","242,164",183,362,0.51
2021,Smyth County,0.0294,38200,891,"206,950",89,117,0.76
2021,Southampton County,0.0294,42250,986,"228,891",44,83,0.53
2021,Spotsylvania County,0.0294,65850,"1,537","356,745",747,"1,489",0.50
2021,Stafford County,0.0294,65850,"1,537","356,745",438,"1,688",0.26
2021,Staunton city,0.0294,45600,"1,064","247,040",187,291,0.64
2021,Suffolk city,0.0294,54100,"1,262","293,089",449,"1,126",0.40
2021,Surry County,0.0294,43400,"1,013","235,121",15,35,0.43
2021,Sussex County,0.0294,57600,"1,344","312,050",47,50,0.94
2021,Tazewell County,0.0294,38200,891,"206,950",94,117,0.80
2021,Virginia Beach city,0.0294,54100,"1,262","293,089","2,151","4,805",0.45
2021,Warren County,0.0294,54650,"1,275","296,068",210,459,0.46
2021,Washington County,0.0294,38200,891,"206,950",87,206,0.42
2021,Waynesboro city,0.0294,45600,"1,064","247,040",117,174,0.67
2021,Westmoreland County,0.0294,49200,"1,148","266,543",148,265,0.56
2021,Williamsburg city,0.0294,54100,"1,262","293,089",94,178,0.53
2021,Winchester city,0.0294,52100,"1,216","282,254",103,183,0.56
2021,Wise County,0.0294,38200,891,"206,950",4,5,0.80
2021,Wythe County,0.0294,38950,909,"211,013",101,148,0.68
2021,York County,0.0294,54100,"1,262","293,089",273,737,0.37
