year,geography,month,month_num,ratio
2021,Richmond,Mar,3,100.00%
2021,Richmond,Apr,4,102.10%
2021,Richmond,May,5,102.00%
2021,Richmond,Jun,6,103.30%
2021,Richmond,Jul,7,101.50%
2021,Richmond,Aug,8,101.20%
2021,Richmond,Sep,9,100.00%
2021,Richmond,Oct,10,100.00%
2021,Richmond,Nov,11,100.50%
2021,Richmond,Dec,12,100.00%
2022,Richmond,Jan,1,100.00%
2022,Richmond,Feb,2,101.00%
2022,Richmond,Mar,3,102.50%
2022,Richmond,Apr,4,104.40%
2022,Richmond,May,5,106.10%
2022,Richmond,Jun,6,104.10%
2022,Richmond,Jul,7,102.80%
2022,Richmond,Aug,8,
2022,Richmond,Sep,9,
2022,Richmond,Oct,10,
2022,Richmond,Nov,11,
2022,Richmond,Dec,12,
