Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,14,8,9,16,16,14
Feb,8,8,10,11,18,16
Mar,9,3,18,10,16,31
Apr,8,11,17,11,13,16
May,4,10,15,4,6,16
Jun,16,13,10,13,28,17
Jul,6,14,4,21,13,19
Aug,8,13,8,19,18,11
Sep,13,6,19,16,7,
Oct,15,11,16,8,10,
Nov,12,11,6,5,26,
Dec,24,22,12,20,33,
