Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,42,42,41,52,78,85
Feb,52,68,51,48,86,80
Mar,71,72,83,62,107,132
Apr,51,58,71,59,111,93
May,69,70,75,71,100,61
Jun,88,84,97,98,90,106
Jul,76,76,86,85,73,
Aug,67,83,87,98,99,
Sep,83,72,93,121,88,
Oct,74,83,102,103,86,
Nov,85,81,74,88,92,
Dec,107,102,88,130,105,
