Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,254,269,236,282,336,279
Feb,268,277,279,318,277,252
Mar,420,373,388,399,396,409
Apr,412,440,430,401,435,404
May,492,473,524,427,490,449
Jun,590,585,556,503,568,521
Jul,498,487,555,506,575,468
Aug,520,499,503,503,553,430
Sep,399,368,440,478,509,
Oct,445,429,426,505,486,
Nov,441,378,355,437,460,
Dec,442,389,421,480,482,
