Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,98,107,83,113,140,99
Feb,84,102,109,108,131,94
Mar,138,153,138,166,166,161
Apr,155,142,128,141,173,171
May,171,169,176,179,213,163
Jun,235,189,163,191,212,196
Jul,153,194,184,233,215,
Aug,168,183,189,181,220,
Sep,145,149,144,233,165,
Oct,141,133,154,211,201,
Nov,109,116,134,150,175,
Dec,153,95,149,201,170,
